userID	movieID	rating	date_day	date_month	date_year	date_hour	date_minute	date_second
75	32	4.5	29	10	2006	23	23	44
75	110	4	29	10	2006	23	30	8
75	160	2	29	10	2006	23	16	52
75	163	4	29	10	2006	23	29	30
75	165	4.5	29	10	2006	23	25	15
75	173	3.5	29	10	2006	23	17	37
75	296	5	29	10	2006	23	24	49
75	353	3.5	29	10	2006	23	17	0
75	420	2	29	10	2006	23	16	42
75	653	3	29	10	2006	23	17	5
75	832	4.5	29	10	2006	23	17	49
75	920	0.5	29	10	2006	23	17	8
75	996	4.5	29	10	2006	23	26	17
75	1036	4	29	10	2006	23	24	45
75	1127	3.5	29	10	2006	23	28	52
75	1215	4.5	29	10	2006	23	28	56
75	1233	4	29	10	2006	23	30	5
75	1304	2.5	29	10	2006	23	16	56
75	1374	4	29	10	2006	23	17	20
75	1485	4	29	10	2006	23	17	46
75	1527	4.5	29	10	2006	23	24	1
75	1917	2.5	29	10	2006	23	26	3
75	2011	2	29	10	2006	23	16	39
75	2054	1.5	29	10	2006	23	17	33
75	2058	4	29	10	2006	23	29	25
75	2490	4	29	10	2006	23	29	35
75	2571	4.5	29	10	2006	23	30	50
75	2688	3	29	10	2006	23	22	26
75	2700	4.5	29	10	2006	23	17	52
75	2762	3.5	29	10	2006	23	24	54
75	2959	4.5	29	10	2006	23	30	12
75	3258	1.5	29	10	2006	23	26	8
75	3793	3	29	10	2006	23	29	16
75	3889	3	29	10	2006	23	22	43
75	3994	3.5	29	10	2006	23	25	24
75	4993	3.5	29	10	2006	23	30	34
75	5833	2.5	29	10	2006	23	29	51
75	5952	3.5	29	10	2006	23	30	40
75	6213	4	29	10	2006	23	26	21
75	6225	0.5	29	10	2006	23	21	25
75	6333	4	29	10	2006	23	28	12
75	7000	3.5	29	10	2006	23	25	8
75	7007	4.5	29	10	2006	23	24	15
75	7153	3.5	29	10	2006	23	30	36
75	32029	4.5	29	10	2006	23	25	18
75	33437	3.5	29	10	2006	23	28	48
75	39052	3.5	29	10	2006	23	28	44
75	45431	3.5	29	10	2006	23	25	58
75	45722	4.5	29	10	2006	23	29	46
78	17	4	10	10	2004	15	34	55
78	29	4.5	16	4	2007	4	57	48
78	32	5	7	5	2004	23	32	18
78	41	4.5	10	10	2004	15	56	39
78	82	4	7	5	2004	23	20	36
78	110	3.5	11	7	2004	11	44	24
78	111	4	16	4	2007	2	25	10
78	150	4	13	8	2004	2	43	53
78	162	4.5	9	7	2004	2	27	32
78	198	2.5	7	5	2004	22	47	9
78	223	4.5	11	7	2004	11	53	50
78	235	4	9	7	2004	2	34	25
78	260	4	21	10	2004	2	36	2
78	272	5	7	5	2004	22	47	31
78	305	2	10	10	2004	15	56	26
78	314	4	7	5	2004	23	19	17
78	318	4	9	7	2004	2	34	43
78	327	3.5	11	7	2004	11	0	50
78	356	3.5	11	7	2004	12	5	34
78	357	5	11	7	2004	11	58	45
