movieID	genre
1	Adventure
1	Animation
1	Children
1	Comedy
1	Fantasy
2	Adventure
2	Children
2	Fantasy
3	Comedy
3	Romance
4	Comedy
4	Drama
4	Romance
5	Comedy
6	Action
6	Crime
6	Thriller
7	Comedy
7	Romance
8	Adventure
8	Children
9	Action
10	Action
10	Adventure
10	Thriller
11	Comedy
11	Drama
11	Romance
12	Comedy
12	Horror
13	Animation
13	Children
14	Drama
15	Action
15	Adventure
15	Romance
16	Crime
16	Drama
17	Comedy
17	Drama
17	Romance
18	Comedy
18	Drama
18	Thriller
19	Comedy
20	Action
20	Comedy
20	Crime
20	Drama
20	Thriller
21	Action
21	Comedy
21	Drama
22	Crime
22	Drama
22	Horror
22	Mystery
22	Thriller
23	Action
23	Crime
23	Thriller
24	Drama
24	Sci-Fi
25	Drama
25	Romance
26	Drama
27	Drama
28	Drama
28	Romance
29	Adventure
29	Drama
29	Fantasy
29	Mystery
29	Sci-Fi
30	Crime
30	Drama
31	Drama
32	Sci-Fi
32	Thriller
33	Adventure
33	IMAX
33	Romance
34	Children
34	Comedy
34	Drama
34	Fantasy
35	Drama
35	Romance
36	Crime
36	Drama
37	Documentary
37	IMAX
38	Comedy
39	Comedy
39	Romance
40	Drama
41	Drama
41	War
42	Action
42	Crime
42	Drama
43	Drama
44	Action
44	Adventure
44	Fantasy
45	Comedy
45	Drama
45	Thriller
46	Drama
46	Romance
47	Crime
47	Horror
47	Mystery
47	Thriller
48	Animation
48	Children
48	Musical
48	Romance
49	Drama
49	Romance
50	Crime
50	Mystery
50	Thriller
52	Comedy
52	Drama
52	Romance
53	Adventure
53	Drama
54	Children
54	Comedy
55	Drama
56	Adventure
56	Children
56	Fantasy
57	Drama
58	Comedy
58	Drama
58	Romance
59	Drama
59	Mystery
60	Adventure
60	Children
60	Fantasy
61	Drama
61	Thriller
62	Drama
63	Comedy
63	Crime
64	Comedy
64	Romance
65	Comedy
66	Action
66	Sci-Fi
66	Thriller
67	Drama
68	Comedy
68	Romance
69	Comedy
70	Action
70	Comedy
70	Horror
70	Thriller
71	Action
72	Comedy
72	Drama
73	Drama
73	War
74	Drama
74	Romance
75	Comedy
75	Drama
76	Action
76	Sci-Fi
76	Thriller
77	Documentary
78	Drama
79	Drama
79	Thriller
80	Children
80	Drama
81	Crime
81	Drama
81	Romance
82	Comedy
82	Drama
83	Drama
84	Comedy
84	Drama
85	Drama
85	Romance
86	Adventure
86	Drama
87	Children
87	Comedy
88	Comedy
89	Action
89	Thriller
90	Drama
92	Drama
92	Horror
92	Thriller
93	Comedy
93	Romance
94	Comedy
94	Drama
94	Romance
95	Action
95	Adventure
95	Thriller
96	Comedy
96	Drama
97	Drama
98	Action
98	Thriller
99	Documentary
100	Drama
100	Thriller
101	Adventure
101	Comedy
101	Crime
101	Romance
102	Comedy
103	Mystery
103	Sci-Fi
103	Thriller
104	Comedy
105	Drama
105	Romance
106	Comedy
106	Drama
107	Adventure
107	Children
107	Comedy
107	Musical
110	Action
110	Drama
110	War
111	Crime
111	Drama
111	Thriller
112	Action
112	Adventure
112	Comedy
112	Crime
113	Drama
113	Mystery
114	Drama
115	Comedy
116	Documentary
117	Crime
117	Drama
118	Comedy
118	Romance
119	Comedy
120	Drama
121	Drama
122	Comedy
122	Romance
123	Drama
123	Mystery
123	Romance
124	Drama
125	Comedy
126	Adventure
126	Children
126	Fantasy
128	Documentary
129	Comedy
129	Romance
130	Drama
131	Drama
131	Romance
132	Thriller
134	Documentary
135	Comedy
136	Documentary
137	Documentary
139	Action
139	Drama
140	Drama
140	Romance
141	Comedy
143	Drama
144	Comedy
145	Action
146	Adventure
146	Children
147	Drama
148	Drama
149	Crime
149	Drama
149	Thriller
150	Adventure
150	Drama
151	Action
151	Drama
151	Romance
151	War
152	Drama
152	Horror
153	Action
153	Adventure
153	Comedy
153	Crime
154	Drama
155	Adventure
155	Drama
155	War
156	Comedy
156	Drama
157	Comedy
157	War
158	Adventure
158	Children
159	Crime
159	Drama
159	Mystery
160	Action
160	Adventure
160	Mystery
160	Sci-Fi
161	Drama
161	Thriller
161	War
162	Documentary
163	Action
163	Romance
163	Thriller
164	Crime
164	Film-Noir
164	Mystery
164	Thriller
165	Action
165	Crime
165	Thriller
166	Comedy
166	Crime
166	Drama
167	Drama
168	Action
168	Drama
168	Romance
169	Adventure
169	Children
169	Drama
170	Action
170	Adventure
170	Crime
170	Thriller
171	Comedy
171	Drama
172	Action
172	Sci-Fi
172	Thriller
173	Action
173	Crime
173	Sci-Fi
174	Comedy
175	Drama
